"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","437","has title","automationexercise-test","Fri Jul 25 09:09:18 UTC 2025","passed","Fri Jul 25 09:09:19 UTC 2025","","example.spec.ts","",""
"","597","get started link","automationexercise-test","Fri Jul 25 09:09:19 UTC 2025","passed","Fri Jul 25 09:09:20 UTC 2025","","example.spec.ts","",""
